disease,desc
narcolepsy,"Also known as Excessive Uncontrollable Daytime Sleepiness and Gelineau Syndrome  ,Narcolepsy is a chronic neurological disorder caused by the brain's inability to regulate sleep-wake cycles normally. It often begins mildly and progresses over a period of time until it reaches full manifestation. People with narcolepsy often experience disturbed nocturnal sleep and an abnormal daytime sleep pattern which often is confused with insomnia. Narcoleptics when falling asleep generally experience the REM stage of sleep within 5 minuteswhile most people do not experience REM sleep until an hour or so later. REM sleep is where most dreams occur. , Source: Wikipedia"
food allergy,"Also known as Food Hypersensitivity  ,A food allergy is an adverse immune response to a food protein. They are distinct from other adverse responses to food such as food intolerance pharmacological reactionsand toxin-mediated reactions. , Source: Wikipedia"
labyrinthitis,"Also known as Otitis Interna  ,Labyrinthitis is an ailment of the inner ear and a form of unilateral vestibular dysfunction. It derives its name from the labyrinths that house the vestibular system which senses changes in head position. Labyrinthitis can cause balance disorders vertigohearing loss and tinnitus. , Source: Wikipedia"
anxiety,"Anxiety is an unpleasant state of inner turmoil and apprehension often accompanied by nervous behavior such as pacing back and forth somatic complaints and rumination. It is the subjectively unpleasant feelings of dread over something unlikely to happen such as the feeling of imminent death. Anxiety is feeling unrealistic fear worry and uneasiness usually generalized and unfocused. It is often accompanied by restlessness fatigue problems in concentration and muscular tension. Anxiety is not considered to be a normal reaction to a perceived stressor although many feel it occasionally. When anxiety becomes overwhelming and distressing to the sufferer it may fall under the psychiatric diagnosis of anxiety disorder. Anxiety is not the same as fear. Fear is evoked by a realistic danger and is an appropriate response to a perceived threatwhile anxiety is worry or overreaction to a situation that is only subjectively seen as menacing. , Source: Wikipedia"
impulse control disorder,"Impulse control disorder or ICD is a class of psychiatric disorders characterized by impulsivity – failure to resist a temptation urge or impulse that may harm oneself or others. Many psychiatric disorders feature impulsivity including substance-related disorders paraphilias attention deficit hyperactivity disorder antisocial personality disorder conduct disorder schizophrenia and mood disorders. The revised fourth edition of the American Psychiatric Association's Diagnostic and statistical manual of mental disorders (DSM-IV-TR) includes the categoryimpulse control disorders not elsewhere classified which consists of kleptomania pathological gambling pyromania (fire-starting) trichotillomania (a compulsion to pull one's hair out) intermittent explosive disorderand impulse control disorders not otherwise specified. Other disorders such as dermatillomania (compulsive skin picking)compulsive buying and compulsive non-paraphilic sexual behaviour have been proposed for inclusion in the category. , Source: Wikipedia"
stenosis of the tear duct,"Also known as Blocked Tear Duct and Lacrimal Duct Obstruction  ,Interference with the secretion of tears by the lacrimal glands. Obstruction of the lacrimal sac or nasolacrimal duct causing acute or chronic inflammation of the lacrimal sac (DACRYOCYSTITIS). It is caused also in infants by failure of the nasolacrimal duct to open into the inferior meatus and occurs about the third week of life. In adults occlusion may occur spontaneously or after injury or nasal disease. (Newell Ophthalmology: Principles and Concepts th edp5) Source: MeSH"
abscess of nose,Also known as Nasal Abscess and Nose Abscess   Abscess of nose is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
omphalitis,"Omphalitis is the medical term for infection of the umbilical cord stump in the neonatal newborn period. While currently an uncommon anatomical location for infection in the newborn in the United States it has caused significant morbidity and mortality both historically and in areas where health care is less readily available. , Source: Wikipedia"
leukemia,"Leukemia (American English) or leukaemia (British English) is a type of cancer of the blood or bone marrow characterized by an abnormal increase of immature white blood cells called blasts. Leukemia is a broad term covering a spectrum of diseases. In turn it is part of the even broader group of diseases affecting the blood bone marrow and lymphoid systemwhich are all known as hematological neoplasms. , Source: Wikipedia"
bell palsy,"Also known as Bell facial paralysis  ,Bell's palsy is a form of facial paralysis resulting from a dysfunction of the cranial nerve VII (the facial nerve) causing an inability to control facial muscles on the affected side. Several conditions can cause facial paralysis e.g. brain tumor stroke myasthenia gravis and Lyme disease. However if no specific cause can be identified the condition is known as Bell's palsy. Named after Scottish anatomist Charles Bell who first described itBell's palsy is the most common acute mononeuropathy (disease involving only one nerve) and is the most common cause of acute facial nerve paralysis (>80%). , Source: Wikipedia"
conjunctivitis due to allergy,"Also known as Allergic Conjunctivitis and Atopic Conjunctivitis  ,Allergic conjunctivitis is inflammation of the conjunctiva (the membrane covering the white part of the eye) due to allergy. Although allergens differ between patients the most common cause is hay fever. Symptoms consist of redness (mainly due to vasodilation of the peripheral small blood vessels) oedema (swelling) of the conjunctiva itching and increased lacrimation (production of tears). If this is combined with rhinitisthe condition is termed allergic rhinoconjunctivitis. , Source: Wikipedia"
